Model,RMSE,MAE,R² Score,CV R² (mean),CV R² (std)
Gradient Boosting,2.5095772601864152,1.8571027727576288,0.9141190082737712,0.8506518472907224,0.04669790576780572
Random Forest,2.897766489462356,2.0315294117647062,0.8854954665424354,0.8273630714879887,0.04993072377959632
Linear Regression,3.776406966319055,2.25161918879939,0.8055296077650185,0.7918710065267971,0.07090611632182928
Ridge Regression,3.8141566824426247,2.3323312342009315,0.8016222459651752,0.791165407682788,0.06788327641325222
Lasso Regression,4.241046358789589,2.692989969762458,0.7547314015140846,0.7708462559605086,0.06779721818805015
